시도,시군구,사전투표율_8회,사전투표율_9회,격차_%p
경기도,안산시상록구,16.35,18.27,1.92
충청북도,괴산군,37.11,39.03,1.92
경상북도,울진군,33.95,35.87,1.92
서울특별시,송파구,21.41,23.3,1.89
충청북도,음성군,23.72,25.6,1.88
부산광역시,동구,23.03,24.9,1.87
대전광역시,중구,19.93,21.77,1.84
경기도,포천시,21.97,23.79,1.82
경기도,성남시수정구,22.49,24.3,1.81
경기도,시흥시,16.45,18.26,1.81
강원특별자치도,화천군,30.92,32.7,1.78
경기도,양주시,18.65,20.42,1.77
부산광역시,금정구,21.32,23.07,1.75
경상남도,창녕군,29.07,30.81,1.74
경기도,김포시,16.93,18.63,1.7
강원특별자치도,강릉시,23.77,25.47,1.7
경기도,고양시일산동구,18.66,20.35,1.69
경상북도,경산시,14.7,16.37,1.67
인천광역시,연수구,20.26,21.92,1.66
경기도,수원시영통구,19.55,21.15,1.6
부산광역시,서구,21.31,22.87,1.56
경기도,광명시,22.59,24.12,1.53
경상남도,사천시,26.51,28.04,1.53
경상남도,창원시마산합포구,21.75,23.23,1.48
부산광역시,남구,20.28,21.74,1.46
경기도,평택시,15.88,17.33,1.45
경기도,안양시동안구,23.03,24.47,1.44
경기도,의왕시,21.74,23.18,1.44
강원특별자치도,영월군,30.45,31.87,1.42
충청북도,옥천군,32.17,33.57,1.4
부산광역시,수영구,19.22,20.56,1.34
경상남도,창원시마산회원구,19.82,21.15,1.33
충청북도,증평군,24.81,26.11,1.3
인천광역시,미추홀구,18.98,20.26,1.28
울산광역시,동구,22.48,23.76,1.28
강원특별자치도,양구군,31.31,32.59,1.28
충청북도,영동군,34.21,35.47,1.26
충청남도,금산군,26.28,27.46,1.18
경기도,수원시권선구,17.65,18.8,1.15
경기도,수원시팔달구,18.8,19.92,1.12
경기도,용인시수지구,21.16,22.2,1.04
대구광역시,서구,17.35,18.33,0.98
강원특별자치도,고성군,28.31,29.26,0.95
경기도,여주시,22.64,23.56,0.92
경상남도,거창군,32.44,33.36,0.92
경상북도,문경시,33.43,34.34,0.91
강원특별자치도,태백시,32.61,33.5,0.89
경상남도,남해군,36.02,36.91,0.89
경기도,수원시장안구,19.94,20.82,0.88
충청남도,태안군,29.37,30.23,0.86
경상북도,영덕군,33.31,34.14,0.83
경기도,안양시만안구,21.89,22.7,0.81
서울특별시,서초구,20.09,20.88,0.79
경기도,동두천시,22.48,23.26,0.78
강원특별자치도,홍천군,26.45,27.17,0.72
제주특별자치도,제주시,20.99,21.68,0.69
충청남도,청양군,34.85,35.52,0.67
부산광역시,중구,21.78,22.36,0.58
경상북도,예천군,30.68,31.2,0.52
서울특별시,강남구,18.6,19.09,0.49
경기도,가평군,25.28,25.75,0.47
전북특별자치도,무주군,47.49,47.92,0.43
경기도,안성시,21.99,22.32,0.33
강원특별자치도,삼척시,32.06,32.39,0.33
강원특별자치도,평창군,33.77,34.03,0.26
전라남도,장성군,45.32,45.52,0.2
경상북도,칠곡군,17.22,17.42,0.2
충청남도,서천군,31.1,31.22,0.12
충청남도,예산군,24.35,24.44,0.09
강원특별자치도,정선군,33.48,33.54,0.06
