huboid,name,party,party_short,office,sdName,sggName,region,criminal_record_count,has_criminal_record,ocr_categories,official_vetting_categories,economic_trust_categories,election_integrity_categories,public_admin_categories,tax_public_money_categories,traffic_safety_categories,has_official_vetting_record,has_hard_vetting_record,has_economic_trust_record,has_election_integrity_record,has_public_admin_record,has_tax_public_money_record,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax_arrears_5y,has_tax_arrears_current,has_money_trust_flag,has_any_vetting_flag,is_uncontested_candidate,job,career1,career2,nec_detail_url
100163255,김용남,더불어민주당,민주당,국회의원(재·보궐),경기도,평택시을,경기도 평택시을,0,False,,,,,,,,False,False,False,False,False,False,2740,274만원,0,0원,True,False,True,True,False,변호사,(전)제19대 국회의원,(현)법무법인 일호 대표변호사,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163255
100157960,유의동,국민의힘,국힘,국회의원(재·보궐),경기도,평택시을,경기도 평택시을,1,True,"도로교통, 음주·위험운전",음주·위험운전,,,,,음주·위험운전,True,False,False,False,False,False,0,0원,0,0원,False,False,False,True,False,정당인,(전)제 19.20.21대 국회의원,(전)여의도연구원 원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157960
100163874,김남국,더불어민주당,민주당,국회의원(재·보궐),경기도,안산시갑,경기도 안산시갑,0,False,,,,,,,,False,False,False,False,False,False,0,0원,0,0원,False,False,False,False,False,변호사,(전)제21대 국회의원,(전)대통령비서실 디지털소통비서관,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163874
100158139,김석훈,국민의힘,국힘,국회의원(재·보궐),경기도,안산시갑,경기도 안산시갑,4,True,"건축·건설·부동산, 공직선거법",공직선거법,,공직선거법,,,,True,True,False,True,False,False,446,44만원,0,0원,True,False,True,True,False,정당인,(현)국민의힘 안산시갑 조직위원장,(전)국민의힘 안산시상록구갑 당협위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158139
100163279,이광재,더불어민주당,민주당,국회의원(재·보궐),경기도,하남시갑,경기도 하남시갑,4,True,"국가보안법, 정치자금법, 허위공문서·문서위조·공용서류","정치자금법, 허위공문서·문서위조·공용서류",,정치자금법,허위공문서·문서위조·공용서류,,,True,True,False,True,True,False,0,0원,0,0원,False,False,False,True,False,정당인,(전)제17.18.21대 국회의원,(전)제35대 강원도지사,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163279
100163317,이용,국민의힘,국힘,국회의원(재·보궐),경기도,하남시갑,경기도 하남시갑,0,False,,,,,,,,False,False,False,False,False,False,0,0원,0,0원,False,False,False,False,False,정당인,(전)제21대 국회의원(국민의힘 비례대표),(전)하남시(갑)당협위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163317
100163871,임문영,더불어민주당,민주당,국회의원(재·보궐),광주광역시,광산구을,광주광역시 광산구을,0,False,,,,,,,,False,False,False,False,False,False,0,0원,0,0원,False,False,False,False,False,정당인,(전)국가인공지능전략위원회 상근 부위원장,(전)더불어민주당 디지털특별위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163871
100163566,안태욱,국민의힘,국힘,국회의원(재·보궐),광주광역시,광산구을,광주광역시 광산구을,0,False,,,,,,,,False,False,False,False,False,False,0,0원,0,0원,False,False,False,False,False,정당인,(전)국회정책연구위원(2급 상당),(전)TBN 광주교통방송 본부장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163566
100163951,박형룡,더불어민주당,민주당,국회의원(재·보궐),대구광역시,달성군,대구광역시 달성군,2,True,"집시법, 총포·화약, 폭력",,,,,,,False,False,False,False,False,False,0,0원,0,0원,False,False,False,False,False,정당인,(전)국가균형발전위원회 정책조정실장,(현)더불어민주당 달성군 지역위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163951
100163482,이진숙,국민의힘,국힘,국회의원(재·보궐),대구광역시,달성군,대구광역시 달성군,0,False,,,,,,,,False,False,False,False,False,False,0,0원,0,0원,False,False,False,False,False,정당인,(전) 방송통신위원회 위원장,(전) 대전MBC사장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163482
